N,T,N_over_T,sample_condition,lw_condition,sample_hhi,lw_hhi,sample_realized_vol,lw_realized_vol,sample_forecast_error,lw_forecast_error,sample_turnover,lw_turnover,lw_shrinkage
25,126,0.1984126984126984,65.89339157830526,22.319894980938503,0.214794624563013,0.12083098276823755,0.15427512088196102,0.14628765171625036,0.046116263543334174,0.03562736692673317,0.3165993046736004,0.19705805769027657,0.1922241729931142
25,252,0.0992063492063492,43.231537664145364,24.857616749709344,0.1695839833571204,0.12722146622977112,0.14703241872713196,0.14260220527550163,0.03593851629821958,0.03309564170598533,0.15006564286215907,0.1130320329907937,0.10951215851487532
25,504,0.0496031746031746,32.096857908512554,24.408666017193614,0.14358099946353386,0.12585103238947687,0.14749583327356586,0.1456463946538162,0.03847297495598752,0.0379520844513402,0.07711998118905833,0.06732743758844581,0.06340253355828546
25,756,0.033068783068783,28.90644762689104,24.039337061597987,0.13520550666325484,0.1239715578948646,0.15028746750484726,0.1494744102523263,0.04234949801982755,0.04218974853563625,0.05330684979098043,0.04885888555034941,0.046543655571366145
50,126,0.3968253968253968,238.20706799020837,54.66026190819151,0.2145266585260516,0.10127713421812154,0.1445833528179848,0.12401687434876292,0.0664043159701685,0.0365406447514882,0.6381706182931006,0.32311651012579146,0.17892975333853525
50,252,0.1984126984126984,110.346606588147,58.65527125724703,0.1420336611539337,0.10532197632719406,0.12581328431183933,0.11957650980578319,0.034569307800751674,0.029132025109914778,0.25906780859104944,0.19051692728141628,0.10004889626589498
50,504,0.0992063492063492,74.79496158509741,55.800750609183915,0.1170567864936985,0.10291564890270435,0.12303155932103108,0.12099403653175854,0.02917779213931584,0.02864007248319827,0.12907399239218162,0.11147801162234981,0.05650068205265104
50,756,0.0661375661375661,64.69071671494729,53.556533356615624,0.11078424765612545,0.10202871869203861,0.12488630069936972,0.12389576833366286,0.032487757263966854,0.03263873614874827,0.08974606670081102,0.08201989062123333,0.04065259952914543
100,126,0.7936507936507936,5028.452630174126,137.62372927685394,0.5045310289884926,0.07947858097859176,0.20467708346699356,0.11336033907294955,0.16663392241406846,0.045042881731975445,2.4495388389427775,0.5035237516805648,0.1821232169680053
100,252,0.3968253968253968,522.7872685814157,167.68112573784944,0.1523545087825797,0.08805805811872769,0.12504538927774328,0.11115838462503096,0.05618963604220953,0.03508850893207934,0.566853988807375,0.3343645391457375,0.10138226180128136
100,504,0.1984126984126984,277.0556693584899,166.78925054688077,0.10694599300722585,0.08618709791433342,0.11526604914081705,0.11162785744904546,0.03265665085675576,0.028836410589615055,0.24479424815293493,0.1971925967500151,0.05585976436625276
100,756,0.1322751322751322,228.6653221211609,165.66664596900895,0.0987597170025725,0.08635337367486082,0.11665294435415836,0.11491477264048156,0.031318845840923454,0.03040134662287793,0.16397542363406542,0.14390451779950028,0.039223486853089254
150,126,1.1904761904761905,inf,201.845906411104,1184.6274406211385,0.06710639071769058,4.168376887356815,0.10869127028903956,4.920176434089549,0.05285669203201349,104.91840477760766,0.6221677666804927,0.18897108351161163
150,252,0.5952380952380952,1849.4043120354208,297.67683454132356,0.21554191281915824,0.08277756365351185,0.13883856079079368,0.10876462177358943,0.08790795977286528,0.04440321575969625,1.101600042345301,0.47442311624864997,0.1058652246616976
150,504,0.2976190476190476,567.0820650913398,288.20607220505104,0.11309835979738803,0.08081856351741082,0.1126229249695437,0.1071432927473505,0.04049551691959616,0.032501967165476736,0.374311924990119,0.2811969605723742,0.05812047952084621
150,756,0.1984126984126984,419.06819371269194,279.9283999481859,0.09728682399172238,0.08029428299792817,0.11270655805021434,0.11032095244552512,0.033616954960569115,0.03099275030633895,0.24122225245149564,0.2053336688506902,0.04064133951032411
